skill
Python
Java
C
C++
SQL
MySQL
MongoDB
Machine Learning
Deep Learning
Pandas
NumPy
TensorFlow
PyTorch
FastAPI
Docker
AWS
Git
GitHub
React
Streamlit
HTML
HTML5
CSS
CSS3
JavaScript
TypeScript
React
Vue
Angular
Bootstrap
Tailwind
Node.js
Express
REST API
RESTful API
Git
GitHub
Linux
Windows
